CommentController/Index: 	4553ms

GameController/GetCount: 	4553ms

CommentController/Index: 	4553ms

GameController/GetCount: 	4555ms

GameController/Index: 	1886ms

GameController/GetCount: 	1897ms

GameController/Details: 	2093ms

GameController/GetCount: 	2097ms

CommentController/Index: 	2169ms

GameController/GetCount: 	2170ms

CommentController/Index: 	2189ms

GameController/GetCount: 	2190ms

CommentController/Index: 	2228ms

GameController/GetCount: 	2229ms

CommentController/Delete: 	2229ms

CommentController/Index: 	2247ms

GameController/GetCount: 	2248ms

GameController/Index: 	1253ms

GameController/GetCount: 	1262ms

GameController/Details: 	1307ms

GameController/GetCount: 	1311ms

CommentController/Index: 	1400ms

GameController/GetCount: 	1401ms

GameController/Details: 	1419ms

GameController/GetCount: 	1420ms

CommentController/Index: 	1424ms

GameController/GetCount: 	1425ms

CommentController/Index: 	4515ms

CommentController/Index: 	4550ms

GameController/GetCount: 	4551ms

CommentController/Index: 	12939ms

CommentController/Index: 	12955ms

GameController/GetCount: 	12956ms

CommentController/Index: 	13023ms

CommentController/Index: 	13042ms

GameController/GetCount: 	13043ms

CommentController/Index: 	13370ms

CommentController/Index: 	13404ms

GameController/GetCount: 	13405ms

CommentController/Delete: 	13452ms

CommentController/Index: 	13455ms

GameController/GetCount: 	13459ms

CommentController/Index: 	13459ms

GameController/GetCount: 	13459ms

CommentController/Delete: 	13469ms

CommentController/Index: 	13471ms

GameController/GetCount: 	13474ms

CommentController/Index: 	13474ms

GameController/GetCount: 	13474ms

CommentController/Delete: 	13502ms

CommentController/Index: 	13505ms

GameController/GetCount: 	13506ms

CommentController/Index: 	13506ms

GameController/GetCount: 	13507ms

CommentController/Index: 	13528ms

CommentController/Index: 	13544ms

GameController/GetCount: 	13545ms

CommentController/Index: 	13553ms

CommentController/Index: 	13571ms

GameController/GetCount: 	13572ms

CommentController/Delete: 	13604ms

CommentController/Index: 	13607ms

GameController/GetCount: 	13607ms

CommentController/Index: 	13607ms

GameController/GetCount: 	13608ms

CommentController/Index: 	13667ms

GameController/GetCount: 	13668ms

CommentController/Delete: 	13679ms

CommentController/Index: 	13681ms

GameController/GetCount: 	13682ms

CommentController/Index: 	13682ms

GameController/GetCount: 	13682ms

CommentController/Delete: 	13708ms

